Team work is important; it helps to put the blame on someone else.|attitude, life, work
I'm taking part in a stair climbing competition. Guess I better step up my game.|puns, sport
Want to get noticed? Go jogging without moving your arms.|sport
One day, a little boy wrote to Santa Clause, "Please send me a sister." Santa Clause wrote him back, "Ok, send me your mother."|Christmas, dirty, kids, sport
What tea do hockey players drink? Penaltea!|puns, sport
Dear Couples Who Fight In Public, stop trying to whisper and would it kill you to include some backstory.|attitude, stupid
Wise people think all they say, fools say all they think.|people, stupid
Accidentally pooped my pants in the elevator. I'm taking this shit to a whole new level.|stupid
I don't know what makes you so stupid, but it really works.|insults, stupid
If at first you don't succeed, we have a lot in common.|sarcastic, success
Behind every successful student, there is a deactivated Facebook account.|attitude, success
Being a hypochondriac is going to save my life one of these days|life, sarcastic, success
Success is like pregnancy. Everybody congratulates you but nobody knows how many times you got fucked to achieve it.|life, motivational, success
Do I know you? Cause you look a lot like my next girlfriend.|attitude, love, success
I'm good at multitasking and procrastinating, which means right now there are at least 28 things that I'm putting off until later.|attitude, intelligence, success
The road to success is always under construction.|life, motivational, success
Identity theft is the most diabolical way someone can compliment you on doing a good job at life.|attitude, life, success
I'm great at multitasking. I can waste time, be unproductive, and procrastinate all at once.|life, time, work
People who write "u" instead of "you". What do you do with all the time you save?|sarcastic, time
Time waits for no man, time is obviously a woman.|men, time, women
We are all time travelers moving at the speed of exactly 60 minutes per hour.|life, time, travel
Just tell me when and where and I'll be there 20 minutes late.|attitude, time
The trouble with doing something right the first time is that nobody appreciates how difficult it was.|life, time
When I die, I hope I have enough time to point at a complete stranger and whisper "You did this."|attitude, dirty, life, time
I thought I was just really tired but it's been 5 years so I guess this is how I look now.|attitude, life, time
I wonder how many miles I've scrolled with my thumb.|travel
I got excited when my son joined the cross-country team. But then I learned they don't cross the country and are back home in a few hours.|kids, sport, time, travel
The Titanic was built to last, let that sink in.|dirty, travel
Don't worry guys, my wife just turned the car radio down so we shouldn't be lost much longer.|car, travel
I wanna hang a map of the world in my house. Then I'm gonna put pins into all the locations that I've traveled to. But first, I'm gonna have to travel to the top two corners of the map so it won't fall down.|life, travel
You're about as much use as parallel lines of a railway track. The only difference is the railway tracks take people places and with the way you are, it's no wonder you always end up going nowhere in life.|life, people, travel
My cat constantly looks at me like I asked her to give me a ride to the airport.|animal, travel
What travels around the world but stays in one corner? A stamp.|travel, Valentines
You're so ugly, you scared the crap out of the toilet.|insults, ugly
Which sexual position produces the ugliest children? Ask your mother.|insults, rude, ugly
You are so ugly when you looked in the mirror your reflection walked away.|insults, ugly
Do you wanna lose ten pounds of ugly fat? Cut off your head.|insults, ugly
You should need a license to be that ugly.|insults, ugly
If you're not supposed to eat at night, why is there a light bulb in the refrigerator?|attitude, life, women
Nothing ruins a Friday more than an understanding that today is Tuesday.|attitude, life, work
My job is secure. No one else wants it.|sarcastic, work
I think that if I died and went straight to hell it would take me at least a week to realize I wasn't at work anymore.|attitude, life, work
Tomorrow is April Fools Day. Believe nothing, and trust no one. "So it's like any other day."|April Fools Day
Do you think they named April Fool's Day in your honor?|April Fools Day
April Fools' Day is like a huge open mic night in which millions of people go out of their way to demonstrate how unfunny they are.|April Fools Day
You should know, that no one understood it was an April fool's joke because no one expected you have a sense of humor.|April Fools Day
Change your Facebook Status to "I'm Pregnant" or "I'm Engaged" and watch the April Fools LIKE & Comment away.|April Fools Day
What did the tree say to autumn? Leaf me alone.|autumn, life, puns
What did one autumn leaf say to another? I'm falling for you.|autumn
My speech today will be like a mini-skirt. Long enough to cover the essentials but short enough to hold your attention!|best man speech, communication
It's not often that one gets the opportunity to speak about someone intelligent, respected and admired. Unfortunately tonight I have to talk about (NAME).|best man speech, insults, intelligence
Ladies and gentlemen, if there's anybody here this afternoon who's feeling nervous, apprehensive and queasy at the thought of what lies ahead, it's probably because you have just got married to (NAME).|best man speech
He was in a pub when he proposed. It was very romantic – he got up on one knee.|alcohol, best man speech
I'd like to start today by telling you how wonderful (NAME) is. I'd like to but...|best man speech, sarcastic
(NAME) is a terrific athlete. He recently ran the London Marathon – he was aiming for 3 hours but just missed it! he made it in 3 hrs 150 minutes|best man speech
(NAME) spent most of his university days single But it was by choice. Woman chose not to date him.|best man speech, love, women
Being asked to be best man is like being asked to make love to the queen. On the one hand it is a great honour, but you dread the moment when you have to rise to perform.|best man speech
Leading up to the wedding (NAME) has been on a whiskey diet. His lost three days already.|best man speech, wedding
I like birthdays, but I think too many can kill you.|birthday
Chinese kid was born before the due date. Parents named him Sudden Lee.|birthday, family, racist, time
Where do you find a birthday present for a cat? In a cat-alogue!|animal, birthday, puns
Why are birthday's good for you? Statistics show that the people who have the most live the longest!|birthday, life
Your secrets are safe with me because I literally won't remember them. This also applies to your birthday. Your birthdays are safe with me.|birthday, communication
I bet the worst part about being a birthday cake is when you're set on fire, and then eaten by the hero that saved you.|birthday, food
"Were any famous men born on your birthday?" "No, only little babies."|birthday, stupid
If you feel a bit lonely, forgotten, or just need someone to cheer you up remember...You can always change your birthday on facebook!|birthday
The best way to remember your wife's birthday is to forget it once.|birthday, marriage
What do you call people who are afraid of Santa Claus? Claustrophobic|Christmas, puns
I wasn't planning on giving Christmas gifts this year until I heard about those exploding Samsung Galaxy phones.|Christmas, death, sarcastic
What is the difference between snowmen and snowwomen? Snowballs.|Christmas, men, women
If your left leg was thanksgiving, and your right leg is Christmas, can I come visit you between the holidays?|Christmas, dirty, flirty
STRESSED is just DESSERTS spelled backward.|Christmas, puns
What did the little Mexican boy get for christmas? My bike.|Christmas, racist
What happened to the egg when he was tickled too much? He cracked up.|Easter
Why do only 20 percent of blonde chicks lay Easter eggs? The rest are hunting peckers.|blonde, Easter
What day does an Easter egg hate the most? Fry-days.|Easter, puns
I'll show you where easter eggs come from -- you may be surprised!|dirty, Easter
I live in a hutch filled with vibrating cedar chips|dirty, Easter
There's a easter parade in my pants...wanna go?|dirty, Easter, flirty
My foot isn't the only part of me that's lucky|dirty, Easter
Ever done it on a pile of artificial grass?|dirty, Easter
Ever get it on with a rodent?|Easter
Remember: What dad really wants is a nap. Really.|Father's Day, life
Becoming a father is easy enough, but being one can be very rough.|family, Father's Day
What do toys and boobs have in common? Both are made for children but it's the fathers who play with them most.|Father's Day
Being a great father is like shaving. No matter how good you shaved today, you have to do it again tomorrow.|Father's Day
Why are Fathers like parking spaces? The good ones are already taken!|family, Father's Day
The trouble with learning from experience is that you never graduate.|graduation, school
I'd advise you graduates to keep your graduation gown. It's the only outfit you might not outgrow.|graduation
One good thing about graduation is that you get to wear a funny hat that makes your brain look larger than it actually is.|graduation
The lesson of Halloween is that pretending to be something you're not will lead to a sweet reward.|attitude, Halloween, sarcastic
I want to be something really scary for Halloween this year so I'm dressing up as a phone battery at 2%.|Halloween, IT
What do sea monsters eat for lunch? Fish and ships.|Halloween, puns
What do ghosts serve for dessert? I Scream.|Halloween, puns
What does a skeleton orders at a restaurant? Spare ribs.|Halloween
What is a vampires favourite type of ship? A blood vessel.|Halloween
What does a panda ghost eat? Bam-BOO!|Halloween
How do Rednecks celebrate Halloween? Pump kin!|Halloween
Why don't witches wear panties? They get a better grip on their brooms!|Halloween, women
Mothers with teenagers know why animals eat their young.|animal, kids, Mother's Day
I always wanted to be just like my mother. Today I'm working on dramatically clutching my throat when I'm told the price of anything.|family, Mother's Day, sarcastic
Her love makes my world go round.|Mother's Day
Can't wait to start my New Years resolution in 2018!|attitude, motivational, New Year
My resolution was to read more so I put the subtitles on my tv.|New Year, sarcastic
I was going to quit all my bad habits for the new year, but then I remembered that nobody likes a quitter.|attitude, life, New Year
A New Year's resolution is something that goes in one year and out the other.|life, New Year
My wife still hasn't told me what my New Year's resolutions are.|marriage, New Year, sarcastic
My New Years resolution is 1080p.|IT, New Year
I return to work tomorrow with a child-like belief that 2017 is the year people will think at least twice before hitting Reply All.|attitude, communication, New Year, stupid, work
New Year's is just a holiday created by calendar companies who don't want you reusing last year's calendar.|New Year
New Years Eve forecast: Mostly drunk with a slight chance of passing out.|New Year
Currently the flower business is blooming.|beauty, spring, success, work
There's a lot of pretty woman at spring because during other seasons you appreciate them with your brain.|life, men, spring
Why do people wear shamrocks on St. Patrick's Day? Regular rocks are too heavy.|St. Patrick's Day
What has eight arms and an IQ of 80? Four girlfriends drinking on St Patricks Day!|St. Patrick's Day, women
Is your name Summer? ‘Coz you're HOT!|flirty, summer
My wife told me: "Sex is better on holiday." That wasn't a very nice postcard to receive.|communication, marriage, summer, travel
I'll get you wetter than a Scottish summer.|dirty, flirty, summer
The main thing I want this holiday season is for someone to wake me when it's over.|attitude, Christmas, summer
Who doesn't eat on Thanksgiving? A turkey because it is always stuffed.|animal, Thanksgiving
Call your dad now and ask him what the wifi password is so he has time to find the little paper it's written on before Thanksgiving.|family, IT, Thanksgiving, time
What did the turkeys sing on Thanksgiving Day? God save the kin.|Thanksgiving
What would you call a woman who goes out with You? Desperate!|insults, rude, Valentines
Dear men, "I don't want anything for Valentine's Day" is the same as "I'm fine." You're welcome.|love, men, Valentines, women
I never loved you any more than I do, right this second. And I'll never love you any less than I do, right this second.|love, Valentines
Do skunks celebrate Valentine's Day? Sure, they're very scent-imental!|animal, puns, Valentines
If love is blind, why is lingerie so popular?|love, Valentines
Get married early in the morning. That way, if it doesn't work out, you haven't wasted a whole day.|marriage, Valentines
What did the painter say to her boyfriend? "I love you with all my art!"|Valentines
What did the light bulb say to the switch? "You turn me on."|life, Valentines
What do squirrels give for Valentine's Day? Forget-me-nuts.|puns, Valentines
If it is not Valentines day and you see a man in a flower shop, you can probably start up a conversation by asking, 'What did you do?'|men, Valentines, women
Weddings and funerals are the same because I love going but I don't want them to be about me.|sarcastic, wedding
So apparently RSVP'ing back to a wedding invite 'maybe next time' isn't the correct response.|communication, IT, wedding
It was an emotional wedding. Even the cake was in tiers.|wedding
